idx,time,equity
0,1727395200000,10000.000000
1,1727481600000,10000.000000
2,1727568000000,10000.000000
3,1727654400000,10000.000000
4,1727740800000,10000.000000
5,1727827200000,10000.000000
6,1727913600000,10000.000000
7,1728000000000,10000.000000
8,1728086400000,10000.000000
9,1728172800000,10000.000000
10,1728259200000,10000.000000
11,1728345600000,10000.000000
12,1728432000000,10000.000000
13,1728518400000,10000.000000
14,1728604800000,10000.000000
15,1728691200000,10000.000000
16,1728777600000,10000.000000
17,1728864000000,10000.000000
18,1728950400000,10000.000000
19,1729036800000,10000.000000
20,1729123200000,10000.000000
21,1729209600000,10000.000000
22,1729296000000,10000.000000
23,1729382400000,10000.000000
24,1729468800000,10000.000000
25,1729555200000,10000.000000
26,1729641600000,10000.000000
27,1729728000000,10000.000000
28,1729814400000,10000.000000
29,1729900800000,10000.000000
30,1729987200000,10000.000000
31,1730073600000,10000.000000
32,1730160000000,10000.000000
33,1730246400000,10000.000000
34,1730332800000,10000.000000
35,1730419200000,10000.000000
36,1730505600000,10000.000000
37,1730592000000,10000.000000
38,1730678400000,10000.000000
39,1730764800000,10000.000000
40,1730851200000,10000.000000
41,1730937600000,10000.000000
42,1731024000000,10000.000000
43,1731110400000,10000.000000
44,1731196800000,10000.000000
45,1731283200000,10000.000000
46,1731369600000,10000.000000
47,1731456000000,10000.000000
48,1731542400000,10000.000000
49,1731628800000,10000.000000
50,1731715200000,10000.000000
51,1731801600000,10000.000000
52,1731888000000,10000.000000
53,1731974400000,10000.000000
54,1732060800000,10000.000000
55,1732147200000,10000.000000
56,1732233600000,10000.000000
57,1732320000000,10000.000000
58,1732406400000,10000.000000
59,1732492800000,10000.000000
60,1732579200000,10000.000000
61,1732665600000,10000.000000
62,1732752000000,10000.000000
63,1732838400000,10000.000000
64,1732924800000,10000.000000
65,1733011200000,10000.000000
66,1733097600000,10000.000000
67,1733184000000,10000.000000
68,1733270400000,10000.000000
69,1733356800000,10000.000000
70,1733443200000,10000.000000
71,1733529600000,10000.000000
72,1733616000000,10000.000000
73,1733702400000,10000.000000
74,1733788800000,10000.000000
75,1733875200000,10000.000000
76,1733961600000,10000.000000
77,1734048000000,10000.000000
78,1734134400000,10000.000000
79,1734220800000,10000.000000
80,1734307200000,10000.000000
81,1734393600000,10000.000000
82,1734480000000,10000.000000
83,1734566400000,10000.000000
84,1734652800000,10000.000000
85,1734739200000,10000.000000
86,1734825600000,10000.000000
87,1734912000000,10000.000000
88,1734998400000,10000.000000
89,1735084800000,10000.000000
90,1735171200000,10000.000000
91,1735257600000,10000.000000
92,1735344000000,10000.000000
93,1735430400000,10000.000000
94,1735516800000,10000.000000
95,1735603200000,10000.000000
96,1735689600000,10000.000000
97,1735776000000,10000.000000
98,1735862400000,10000.000000
99,1735948800000,10000.000000
100,1736035200000,10000.000000
101,1736121600000,10000.000000
102,1736208000000,10000.000000
103,1736294400000,10000.000000
104,1736380800000,10000.000000
