idx,time,equity
0,1727395200000,10000.000000
1,1727481600000,10000.000000
2,1727568000000,10000.000000
3,1727654400000,10000.000000
4,1727740800000,10000.000000
5,1727827200000,10000.000000
6,1727913600000,10000.000000
7,1728000000000,10000.000000
8,1728086400000,10000.000000
9,1728172800000,10000.000000
10,1728259200000,10000.000000
11,1728345600000,10000.000000
12,1728432000000,10000.000000
13,1728518400000,10000.000000
14,1728604800000,10000.000000
15,1728691200000,10000.000000
16,1728777600000,10007.500714
17,1728864000000,9994.998126
18,1728950400000,10045.714944
19,1729036800000,10053.744427
20,1729123200000,10034.008214
21,1729209600000,10003.047690
22,1729296000000,10001.543119
23,1729382400000,10030.481259
24,1729468800000,10060.275509
25,1729555200000,10017.011728
26,1729641600000,10003.723278
27,1729728000000,10002.219777
28,1729814400000,9999.732481
29,1729900800000,9946.198572
30,1729987200000,9944.782270
31,1730073600000,9965.915049
32,1730160000000,9967.260689
33,1730246400000,9983.162670
34,1730332800000,9982.691621
35,1730419200000,9924.837962
36,1730505600000,9923.376161
37,1730592000000,9920.449526
38,1730678400000,9892.966023
39,1730764800000,9881.513504
40,1730851200000,9880.087791
41,1730937600000,9946.657636
42,1731024000000,9958.159015
43,1731110400000,9956.559895
44,1731196800000,9956.559895
45,1731283200000,9956.559895
46,1731369600000,9956.559895
47,1731456000000,9956.559895
48,1731542400000,9956.559895
49,1731628800000,9956.559895
50,1731715200000,9956.559895
51,1731801600000,9956.559895
52,1731888000000,9956.559895
53,1731974400000,9956.559895
54,1732060800000,9956.559895
55,1732147200000,9956.559895
56,1732233600000,9956.559895
57,1732320000000,9956.559895
58,1732406400000,9956.559895
59,1732492800000,9956.559895
60,1732579200000,9956.559895
61,1732665600000,9956.559895
62,1732752000000,9956.559895
63,1732838400000,9956.559895
64,1732924800000,9956.559895
65,1733011200000,9956.559895
66,1733097600000,9956.559895
67,1733184000000,9956.559895
68,1733270400000,9956.559895
69,1733356800000,9956.559895
70,1733443200000,9956.559895
71,1733529600000,9956.559895
72,1733616000000,9956.559895
73,1733702400000,9956.559895
74,1733788800000,9956.559895
75,1733875200000,9956.559895
76,1733961600000,9956.559895
77,1734048000000,9956.559895
78,1734134400000,9956.559895
79,1734220800000,9956.559895
80,1734307200000,9956.559895
81,1734393600000,9956.559895
82,1734480000000,9956.559895
83,1734566400000,9956.559895
84,1734652800000,9956.559895
85,1734739200000,9956.559895
86,1734825600000,9956.559895
87,1734912000000,9956.559895
88,1734998400000,9956.559895
89,1735084800000,9956.559895
90,1735171200000,9956.559895
91,1735257600000,9956.559895
92,1735344000000,9956.559895
93,1735430400000,9956.559895
94,1735516800000,9956.559895
95,1735603200000,9956.559895
96,1735689600000,9956.559895
97,1735776000000,9956.559895
98,1735862400000,9956.559895
99,1735948800000,9956.559895
100,1736035200000,9956.559895
101,1736121600000,9956.559895
102,1736208000000,9956.559895
103,1736294400000,9956.559895
104,1736380800000,9956.559895
