entry_idx,entry_time,entry_price,exit_idx,exit_time,exit_price,reason,pnl_pct
15,1728691200000,4.175516,21,1729209600000,4.181959,trail,0.1543
22,1729296000000,4.311346,26,1729641600000,4.314262,trail,0.0677
27,1729728000000,4.215873,29,1729900800000,3.973778,stop,-5.7425
30,1729987200000,4.036372,35,1730419200000,3.949490,trail,-2.1525
36,1730505600000,3.911555,39,1730764800000,3.740922,stop,-4.3623
40,1730851200000,3.857594,42,1731024000000,4.156172,tp,7.7400
132,1738800000000,4.699344,145,1739923200000,4.753929,trail,1.1615
194,1744156800000,3.371060,205,1745107200000,3.869882,tp,14.7972
267,1750464000000,3.443333,269,1750636800000,3.150957,stop,-8.4911
